0.101,0.311,0.404,0.597,0.782,1.1,1.46,1.713,2.048,2.395,
0.112,0.255,0.479,0.657,0.85,1.131,1.498,1.792,2.151,2.551,
0.113,0.32,0.416,0.642,0.843,1.112,1.467,1.74,2.127,2.484,
0.112,0.324,0.429,0.658,0.854,1.127,1.518,1.793,2.153,2.511,
0.112,0.316,0.487,0.676,0.892,1.117,1.419,1.905,2.127,2.509,
0.188,0.251,0.467,0.632,0.853,1.075,1.349,1.919,2.021,2.364,
0.117,0.253,0.47,0.638,0.846,1.141,1.471,1.76,2.128,2.462,
0.113,0.246,0.461,0.632,0.843,1.125,1.356,1.68,2.024,2.38,
0.116,0.326,0.424,0.655,0.898,1.155,1.414,1.856,2.05,2.781,
0.167,0.26,0.484,0.657,0.878,1.183,1.524,1.8,2.16,2.552,
